,Location,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_100,Total
96,India,234862000,252202000,239902000,215636000,169660000,128132000,87151000,39175000,12020000,1216000,1379956000
97,Iran,14566000,11748000,12343000,16740000,11655000,8295000,5397000,2355000,829000,65000,83993000
98,Maldives,73000,59000,140000,138000,65000,35000,19000,8000,4000,0,541000
99,Nepal,5463000,6120000,5887000,3792000,3046000,2307000,1488000,812000,207000,15000,29137000
100,Pakistan,53462000,45428000,39930000,30816000,21249000,15123000,8902000,4559000,1327000,96000,220892000
101,Sri Lanka,3350000,3387000,2902000,2820000,2881000,2555000,2013000,1146000,314000,45000,21413000
102,Eastern and South-Eastern Asia,304984000,299716000,321250000,360304000,341143000,328139000,226660000,114772000,42930000,6609000,2346507000
103,Eastern Asia,191955000,189475000,212513000,259372000,251952000,256108000,180515000,94648000,35809000,5578000,1677925000
104,China,170667000,166605000,185147000,228830000,216112000,222185000,151664000,71495000,23763000,2780000,1439248000
105,"China, Hong Kong SAR",665000,553000,867000,1122000,1130000,1208000,1049000,525000,298000,78000,7495000
106,"China, Macao SAR",69000,46000,88000,130000,93000,100000,79000,30000,11000,3000,649000
107,Taiwan*,2053000,2189000,3120000,3549000,3787000,3660000,3101000,1489000,710000,155000,23813000
108,Dem. People's Republic of Korea,3430000,3561000,3926000,3642000,3714000,3622000,2135000,1304000,415000,29000,25778000
109,Japan,10179000,11268000,12147000,14456000,18473000,16542000,15875000,16185000,8969000,2304000,126398000
110,Mongolia,737000,501000,500000,564000,423000,314000,159000,60000,19000,2000,3279000
111,"Korea, South",4154000,4753000,6716000,7079000,8219000,8477000,6454000,3561000,1624000,228000,51265000
112,South-Eastern Asia,113029000,110241000,108737000,100931000,89191000,72031000,46145000,20124000,7122000,1031000,668582000
113,Brunei,67000,65000,69000,76000,68000,50000,28000,9000,3000,0,435000
114,Cambodia,3531000,3100000,3117000,2889000,1429000,1388000,817000,352000,89000,7000,16719000
115,Indonesia,47956000,46303000,43571000,41166000,37847000,29155000,17531000,7575000,2225000,192000,273521000
116,Laos,1567000,1467000,1363000,1087000,773000,527000,318000,137000,37000,2000,7278000
117,Malaysia,5143000,5116000,5770000,5652000,3991000,3146000,2152000,1025000,333000,38000,32366000
118,Myanmar,9022000,9916000,9163000,8073000,7220000,5573000,3604000,1423000,388000,28000,54410000
119,Philippines,22014000,21370000,19584000,15502000,12311000,9367000,5879000,2639000,822000,91000,109579000
120,Singapore,479000,506000,834000,897000,965000,946000,800000,289000,113000,21000,5850000
121,Thailand,7440000,8493000,9630000,9230000,10914000,10681000,7625000,3866000,1635000,278000,69792000
122,Timor-Leste,332000,307000,245000,159000,101000,88000,50000,29000,7000,0,1318000
123,Vietnam,15478000,13599000,15389000,16201000,13573000,11110000,7343000,2779000,1470000,373000,97315000
124,Latin America and the Caribbean,103887000,105911000,107350000,99447000,84127000,68362000,47115000,25381000,10334000,1979000,653893000
125,Caribbean,6919000,6956000,6688000,6172000,5249000,5072000,3386000,2043000,863000,176000,43524000
126,Antigua and Barbuda,14000,14000,15000,14000,14000,13000,8000,5000,2000,0,99000
127,Aruba,12000,14000,15000,11000,15000,17000,14000,7000,3000,0,108000
128,Bahamas,54000,64000,66000,55000,57000,50000,30000,14000,4000,0,394000
129,Barbados,30000,37000,38000,37000,39000,40000,34000,20000,10000,3000,288000
130,Cuba,1199000,1247000,1421000,1523000,1562000,1967000,1174000,804000,352000,74000,11323000
131,Curaçao,19000,21000,20000,18000,20000,25000,20000,13000,6000,1000,163000
132,Dominica,2000000,1936000,1855000,1565000,1274000,1014000,683000,341000,148000,31000,10847000
133,Grenada,18000,17000,19000,18000,13000,12000,10000,5000,2000,0,114000
134,Guadeloupe,45000,59000,47000,33000,50000,62000,51000,33000,16000,4000,400000
135,Haiti,2501000,2346000,2044000,1732000,1106000,790000,524000,260000,89000,10000,11402000
136,Jamaica,465000,467000,515000,443000,358000,320000,214000,120000,50000,8000,2960000
137,Martinique,36000,47000,41000,34000,44000,62000,52000,34000,19000,4000,373000
138,Puerto Rico,240000,394000,288000,332000,399000,414000,361000,274000,125000,30000,2857000
139,Saint Lucia,22000,24000,33000,28000,26000,23000,14000,8000,3000,1000,182000
140,Saint Vincent and the Grenadines,16000,17000,17000,16000,15000,14000,9000,5000,2000,0,111000
141,Trinidad and Tobago,184000,185000,183000,243000,191000,175000,136000,74000,23000,4000,1398000
142,United States Virgin Islands,13000,14000,12000,10000,12000,14000,14000,11000,3000,0,103000
143,Central America,32244000,32216000,31014000,26325000,22037000,16634000,10883000,5572000,2267000,462000,179654000
144,Belize,78000,78000,75000,60000,44000,31000,17000,8000,3000,1000,395000
145,Costa Rica,706000,718000,824000,826000,650000,602000,423000,231000,93000,19000,5092000
146,El Salvador,1147000,1166000,1216000,882000,726000,568000,406000,249000,113000,14000,6487000
147,Guatemala,4047000,3872000,3413000,2532000,1702000,1054000,719000,382000,168000,26000,17915000
148,Honduras,2006000,2065000,1906000,1471000,1048000,680000,420000,206000,87000,17000,9906000
149,Mexico,22170000,22351000,21736000,18880000,16548000,12758000,8264000,4189000,1669000,356000,128921000
150,Nicaragua,1317000,1240000,1166000,1055000,763000,507000,348000,150000,65000,11000,6622000
151,Panama,773000,726000,678000,618000,556000,433000,283000,158000,70000,16000,4311000
152,South America,64724000,66738000,69647000,66950000,56840000,46657000,32846000,17766000,7205000,1343000,430716000
153,Argentina,7447000,7136000,6997000,6441000,5728000,4425000,3529000,2300000,1000000,188000,45191000
154,Bolivia,2364000,2298000,2039000,1639000,1238000,884000,615000,392000,167000,35000,11671000
155,Brazil,29077000,31160000,34105000,34477000,29462000,24421000,16897000,8801000,3492000,646000,212538000
156,Chile,2428000,2494000,2996000,2946000,2578000,2353000,1791000,993000,436000,97000,19112000
157,Colombia,7414000,8119000,8847000,7810000,6451000,5544000,3771000,1980000,795000,147000,50878000
158,Ecuador,3278000,3116000,3037000,2593000,2088000,1591000,1088000,570000,234000,46000,17641000
159,French Guiana,66000,58000,46000,39000,36000,27000,17000,7000,2000,0,298000
160,Guyana,148000,145000,145000,93000,90000,80000,51000,23000,9000,2000,786000
161,Paraguay,1384000,1336000,1321000,1109000,728000,549000,402000,214000,78000,12000,7133000
162,Peru,5445000,5135000,5376000,5231000,4347000,3314000,2276000,1255000,520000,71000,32970000
163,Suriname,105000,103000,96000,83000,73000,65000,37000,18000,7000,1000,588000
164,Uruguay,473000,479000,511000,462000,455000,391000,328000,220000,118000,34000,3471000
165,Venezuela,5094000,5159000,4131000,4028000,3565000,3015000,2042000,990000,346000,64000,28434000
166,Australia/New Zealand,3924000,3755000,4047000,4338000,3898000,3736000,3173000,2208000,1004000,233000,30316000
167,Australia,3309000,3131000,3376000,3718000,3306000,3107000,2652000,1846000,852000,199000,25496000
168,New Zealand,615000,625000,671000,619000,591000,629000,522000,362000,152000,33000,4819000
169,Oceania (excluding Australia and New Zealand),2886000,2566000,2098000,1680000,1324000,945000,571000,228000,53000,3000,12354000
170,Melanesia,2646000,2335000,1902000,1520000,1184000,817000,486000,191000,41000,2000,11124000
171,Fiji,177000,158000,142000,135000,106000,91000,57000,23000,5000,0,894000
172,New Caledonia,42000,43000,43000,42000,41000,35000,23000,13000,4000,0,286000
173,Papua New Guinea,2150000,1918000,1554000,1221000,939000,629000,372000,137000,26000,1000,8947000
174,Solomon Islands,196000,149000,112000,82000,69000,41000,23000,12000,3000,0,687000
175,Vanuatu,81000,67000,51000,41000,29000,21000,12000,5000,1000,0,308000
176,Micronesia,107000,103000,92000,71000,60000,57000,38000,16000,5000,0,549000
177,Guam,27000,27000,27000,22000,20000,20000,14000,8000,3000,0,168000
178,Kiribati,29000,23000,21000,17000,11000,10000,5000,2000,0,0,118000
179,Micronesia (Fed. States of),24000,23000,23000,15000,11000,10000,7000,2000,0,0,115000
180,Polynesia,133000,128000,105000,89000,81000,72000,46000,22000,7000,1000,684000
181,French Polynesia,40000,44000,40000,44000,40000,36000,23000,11000,3000,0,281000
182,Samoa,51000,42000,32000,22000,20000,17000,10000,5000,1000,0,200000
183,Tonga,24000,23000,17000,12000,10000,9000,5000,3000,1000,0,104000
184,Europe and Northern America,123527000,124464000,135224000,155275000,149475000,151592000,135160000,87360000,44620000,9579000,1116276000
185,Europe,79821000,78144000,84017000,105313000,104266000,104269000,91942000,60249000,32910000,6579000,747510000
186,Eastern Europe,33708000,30035000,32276000,47113000,42502000,38011000,37732000,19662000,10329000,1630000,292998000
187,Belarus,1144000,929000,1077000,1530000,1286000,1346000,1243000,526000,320000,48000,9449000
188,Bulgaria,650000,686000,689000,958000,1062000,945000,922000,711000,293000,33000,6949000
189,Czechia,1114000,1062000,1105000,1478000,1798000,1351000,1325000,1031000,379000,65000,10708000
190,Hungary,908000,969000,1152000,1257000,1589000,1201000,1306000,847000,372000,59000,9660000
191,Poland,3785000,3710000,4432000,6005000,5536000,4563000,5174000,2901000,1442000,296000,37844000
192,Moldova,425000,419000,571000,774000,563000,521000,488000,185000,79000,9000,4034000
193,Romania,1905000,2076000,2086000,2586000,3026000,2569000,2536000,1530000,812000,111000,19237000
194,Russia,18623000,15256000,15608000,24469000,20376000,18898000,18502000,8549000,4876000,770000,145927000
195,Slovakia,567000,546000,656000,847000,862000,709000,695000,399000,157000,22000,5460000
196,Ukraine,4590000,4384000,4898000,7209000,6406000,5907000,5540000,2983000,1599000,215000,43731000
197,Northern Europe,12425000,12011000,13314000,14307000,13634000,14252000,11660000,9315000,4358000,958000,106234000
198,Channel Islands,18000,17000,21000,24000,25000,26000,20000,14000,7000,1000,173000
199,Denmark,606000,676000,776000,672000,738000,810000,655000,586000,225000,46000,5790000
200,Estonia,143000,137000,146000,194000,185000,165000,170000,107000,67000,12000,1326000
201,Finland,569000,606000,672000,706000,659000,721000,713000,583000,255000,54000,5538000
202,Iceland,43000,44000,48000,47000,43000,42000,37000,23000,10000,2000,339000
203,Ireland,672000,669000,568000,696000,764000,601000,481000,331000,134000,23000,4939000
204,Latvia,208000,189000,189000,263000,254000,264000,250000,163000,84000,23000,1887000
205,Lithuania,301000,243000,317000,337000,356000,421000,353000,223000,139000,32000,2722000
206,Norway,615000,643000,726000,739000,725000,712000,586000,447000,184000,44000,5421000
207,Sweden,1194000,1127000,1277000,1320000,1264000,1296000,1094000,994000,432000,98000,10096000
208,United Kingdom,8044000,7642000,8559000,9295000,8604000,9174000,7287000,5830000,2815000,621000,67871000
209,Southern Europe,13391000,15235000,15946000,18838000,23442000,22930000,18559000,13956000,8150000,1736000,152183000
210,Albania,334000,362000,472000,391000,324000,386000,330000,195000,77000,8000,2879000
211,Bosnia and Herzegovina,295000,346000,403000,458000,448000,500000,464000,242000,110000,13000,3279000
212,Croatia,386000,408000,472000,540000,557000,581000,565000,362000,205000,29000,4105000
213,Greece,881000,1069000,1057000,1337000,1574000,1505000,1258000,956000,655000,128000,10420000
214,Italy,4995000,5733000,6104000,6999000,9022000,9567000,7485000,6029000,3699000,813000,60446000
215,Malta,43000,41000,55000,65000,59000,53000,58000,45000,19000,4000,442000
216,Montenegro,74000,78000,84000,89000,84000,80000,77000,41000,19000,2000,628000
217,North Macedonia,228000,233000,283000,326000,300000,283000,245000,134000,48000,3000,2083000
218,Portugal,841000,1015000,1074000,1215000,1575000,1481000,1294000,1018000,576000,104000,10193000
219,Serbia,856000,1000000,1102000,1215000,1230000,1122000,1143000,730000,309000,31000,8738000
220,Slovenia,210000,197000,205000,284000,305000,301000,285000,178000,96000,17000,2078000
221,Spain,4234000,4736000,4618000,5902000,7939000,7046000,5340000,4015000,2327000,583000,46740000
222,Western Europe,20297000,20864000,22481000,25054000,24688000,29076000,23991000,17318000,10074000,2254000,196097000
223,Austria,874000,876000,1116000,1243000,1179000,1407000,1033000,790000,402000,84000,9004000
224,Belgium,1303000,1312000,1386000,1504000,1519000,1598000,1370000,940000,538000,119000,11589000
225,France,7527000,7884000,7371000,8012000,8325000,8635000,7765000,5728000,3142000,866000,65255000
226,Germany,7881000,7931000,9377000,10872000,10244000,13488000,10644000,7472000,4894000,962000,83765000
227,Luxembourg,66000,65000,86000,98000,95000,91000,62000,38000,20000,4000,625000
228,Netherlands,1753000,1954000,2098000,2097000,2152000,2524000,2130000,1591000,700000,134000,17133000
229,Switzerland,885000,835000,1040000,1220000,1167000,1321000,978000,752000,374000,83000,8655000
230,Northern America,43706000,46319000,51207000,49963000,45210000,47323000,43217000,27110000,11709000,3000000,368764000
231,Canada,3971000,3971000,5096000,5278000,4846000,5182000,4713000,3019000,1334000,323000,37733000
232,US,39721000,42332000,46094000,44668000,40349000,42120000,38488000,24083000,10372000,2678000,330905000
233,X,,,,,,,,,,,
234,Congo (Brazzaville),1592000,1258000,874000,680000,536000,328000,164000,70000,15000,0,5517000
235,Congo (Kinshasa),1592000,1258000,874000,680000,536000,328000,164000,70000,15000,0,5517000
236,Liechtenstein,66000,65000,86000,98000,95000,91000,62000,38000,20000,4000,625000
237,Monaco,66000,65000,86000,98000,95000,91000,62000,38000,20000,4000,625000
238,Saint Kitts and Nevis,22000,24000,33000,28000,26000,23000,14000,8000,3000,1000,182000
239,San Marino,66000,65000,86000,98000,95000,91000,62000,38000,20000,4000,625000
240,Diamond Princess,16,23,347,428,334,398,923,1015,216,0,3700
